,name,team,position,date,status,comments
0,Romeo Langford,Boston Celtics,SG,Sep 28,Day-To-Day,
1,Javonte Green,Boston Celtics,SG,Sep 20,Out,Green did not see the floor in Saturday's Game 3 win over the Heat.
2,Vincent Poirier,Boston Celtics,C,Sep 15,Out,Poirier (personal) is not on the Celtics' injury report ahead of Tuesday's Game 1 against Miami.
3,Kyrie Irving,Brooklyn Nets,PG,Sep 16,Day-To-Day,
4,Kevin Durant,Brooklyn Nets,SF,Sep 16,Day-To-Day,
5,Jamal Crawford,Brooklyn Nets,SG,Sep 16,Day-To-Day,
6,Nicolas Claxton,Brooklyn Nets,PF,Jun 24,Out,"Claxton will miss the resumption of the 2019-20 season after undergoing arthroscopic labrum repair surgery on his left shoulder Wednesday, Anthony Puccio of NetsDaily.com reports."
7,Ray Spalding,Charlotte Hornets,PF,Sep 16,Day-To-Day,
8,Max Strus,Chicago Bulls,SG,Sep 16,Day-To-Day,
9,Chandler Hutchison,Chicago Bulls,SF,Sep 16,Day-To-Day,
10,Kris Dunn,Chicago Bulls,PG,Sep 16,Day-To-Day,
11,Dylan Windler,Cleveland Cavaliers,SG,Sep 16,Day-To-Day,
12,Dante Exum,Cleveland Cavaliers,PG,Sep 16,Day-To-Day,
13,Dwight Powell,Dallas Mavericks,C,Oct 8,Day-To-Day,"Powell (Achilles) has no movement limitations and would be able to scrimmage, Brad Townsend of The Dallas Morning News reports."
14,Jalen Brunson,Dallas Mavericks,PG,Sep 16,Day-To-Day,
15,Kristaps Porzingis,Dallas Mavericks,PF,Sep 16,Day-To-Day,
16,Courtney Lee,Dallas Mavericks,SG,Sep 16,Day-To-Day,
17,Seth Curry,Dallas Mavericks,SG,Aug 22,Out,"Curry ended with 22 points (9-11 FG, 4-4 3Pt), three assists and one steal in 31 minutes during Friday's 130-122 loss to the Clippers."
18,Vlatko Cancar,Denver Nuggets,SF,Sep 27,Day-To-Day,
19,Will Barton,Denver Nuggets,SF,Sep 27,Day-To-Day,
20,Torrey Craig,Denver Nuggets,SF,Sep 11,Day-To-Day,Craig is probable for Friday's game against the Clippers due to right knee soreness.
21,Justin Patton,Detroit Pistons,C,Sep 23,Day-To-Day,
22,Kevon Looney,Golden State Warriors,PF,Sep 24,Day-To-Day,"Looney (abdomen) went ""full bore"" during Thursday's practice without restrictions, Connor Letourneau of the San Francisco Chronicle reports."
23,Ky Bowman,Golden State Warriors,PG,Mar 11,Out,"Bowman finished with 11 points (5-6 FG, 1-2 3Pt), four rebounds and one assist in 24 minutes during Tuesday's 131-107 loss to the Clippers."
24,Tyson Chandler,Houston Rockets,C,Sep 16,Day-To-Day,
25,David Nwaba,Houston Rockets,SG,Sep 13,Day-To-Day,
26,Domantas Sabonis,Indiana Pacers,PF,Sep 16,Day-To-Day,
27,Jeremy Lamb,Indiana Pacers,SG,Sep 16,Day-To-Day,
28,Avery Bradley,Los Angeles Lakers,PG,Sep 16,Out,
29,Jaren Jackson Jr.,Memphis Grizzlies,PF,Sep 16,Day-To-Day,
30,Justise Winslow,Memphis Grizzlies,SF,Sep 16,Out,
31,Goran Dragic,Miami Heat,PG,Oct 7,Out,"Dragic (foot) is considered doubtful to play in Friday's Game 5 against the Lakers, Malika Andrews of ESPN reports."
32,Gabe Vincent,Miami Heat,PG,Oct 5,Out,
33,Karl-Anthony Towns,Minnesota Timberwolves,C,Sep 16,Day-To-Day,
34,Darius Miller,New Orleans Pelicans,SF,Sep 16,Day-To-Day,
35,Nicolo Melli,New Orleans Pelicans,PF,Sep 28,Day-To-Day,
36,Dennis Smith Jr.,New York Knicks,PG,Mar 11,Out,Smith (coach's decision) didn't see the floor in Tuesday's 122-115 loss to the Wizards.
37,Isaiah Roby,Oklahoma City Thunder,SF,Sep 16,Day-To-Day,
38,Jonathan Isaac,Orlando Magic,PF,Sep 16,Out,
39,Aaron Gordon,Orlando Magic,PF,Sep 16,Day-To-Day,
40,Al-Farouq Aminu,Orlando Magic,PF,Sep 16,Day-To-Day,
41,Zhaire Smith,Philadelphia 76ers,SG,Sep 16,Day-To-Day,
42,Ben Simmons,Philadelphia 76ers,PG,Sep 16,Day-To-Day,
43,Mike Scott,Philadelphia 76ers,PF,Aug 12,Out,"Scott notched 17 points (7-12 FG, 3-4 3Pt), four rebounds, one assist and one steal in 22 minutes during Tuesday's loss to the Suns."
44,Nassir Little,Portland Trail Blazers,SF,Sep 16,Day-To-Day,
45,Wenyen Gabriel,Portland Trail Blazers,PF,Sep 16,Day-To-Day,
46,Zach Collins,Portland Trail Blazers,PF,Sep 16,Day-To-Day,
47,Rodney Hood,Portland Trail Blazers,SF,Sep 16,Day-To-Day,
48,CJ McCollum,Portland Trail Blazers,SG,Sep 16,Day-To-Day,
49,Damian Lillard,Portland Trail Blazers,PG,Sep 16,Day-To-Day,
50,Marvin Bagley III,Sacramento Kings,PF,Sep 16,Day-To-Day,
51,Quinndary Weatherspoon,San Antonio Spurs,SG,Oct 7,Day-To-Day,
52,Derrick White,San Antonio Spurs,PG,Sep 16,Day-To-Day,
53,Trey Lyles,San Antonio Spurs,C,Sep 16,Day-To-Day,
54,LaMarcus Aldridge,San Antonio Spurs,PF,Sep 16,Day-To-Day,
55,Tyler Zeller,San Antonio Spurs,C,Aug 8,Day-To-Day,"Zeller (knee) will not play Sunday against the Pelicans, Paul Garcia of ProjectSpurs.com reports."
56,Oshae Brissett,Toronto Raptors,SF,Sep 16,Day-To-Day,
57,Patrick McCaw,Toronto Raptors,SF,Sep 16,Day-To-Day,
58,Dewan Hernandez,Toronto Raptors,C,Jul 10,Out,"Hernandez (ankle) is with the Raptors in Orlando and is available to play, Austin Kent of SLAM reports."
59,Bojan Bogdanovic,Utah Jazz,SF,Sep 16,Day-To-Day,
60,Ed Davis,Utah Jazz,C,Sep 16,Day-To-Day,
61,Bradley Beal,Washington Wizards,SG,Sep 16,Day-To-Day,
62,John Wall,Washington Wizards,PG,Sep 16,Day-To-Day,
